title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.6 - 41 km SW of Quellón, Chile",7.6,25/12/2016 14:22,9,8,yellow,1,1152,us,0,0.355,29,mww,38,-43.4064,-73.9413,"Quellón, Chile",South America,Chile
"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,21/12/2016 0:17,5,5,green,0,726,us,0,3.38,17,mww,152,-7.5082,127.921,"Lospalos, Timor Leste",,Indonesia
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,17/12/2016 10:51,9,7,yellow,1,972,us,0,1.389,13,mww,94.54,-4.5049,153.522,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,8/12/2016 17:38,9,8,green,1,961,us,0,1.836,13,mww,40,-10.6812,161.327,"Kirakira, Solomon Islands",,Solomon Islands
"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,6/12/2016 22:03,9,8,yellow,0,731,us,0,0.778,27,mww,13,5.2834,96.1678,"Reuleuet, Indonesia",,Indonesia
"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,25/11/2016 14:24,8,7,green,0,693,us,0,1.697,20,mww,17,39.2732,73.9776,"Murghob, Tajikistan",Asia,People's Republic of China
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,14/11/2016 0:34,7,7,yellow,1,664,us,0,0.283,56,mww,9,-42.6058,173.254,"Amberley, New Zealand",,New Zealand
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,13/11/2016 11:32,6,7,yellow,1,656,us,0,0.135,58,mww,10,-42.3205,173.669,"Blenheim, New Zealand",,New Zealand
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,13/11/2016 11:02,9,9,orange,1,1545,us,0,0.481,21,mww,15.11,-42.7373,173.054,"Amberley, New Zealand",,New Zealand
"M 6.6 - 5 km ESE of Preci, Italy",6.6,30/10/2016 6:40,9,8,red,0,2840,us,0,0.174,25,mww,8,42.8621,13.0961,"Preci, Italy",Europe,Italy
"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,19/10/2016 0:26,3,3,green,0,677,us,0,2.022,16,mww,614,-4.8626,108.163,"Pamanukan, Indonesia",,Indonesia
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,17/10/2016 6:14,3,6,green,1,716,us,0,3.727,11,mww,42,-6.0033,148.887,"Kandrian, Papua New Guinea",,Papua New Guinea
M 6.9 - Fiji region,6.9,24/9/2016 21:28,2,3,green,1,733,us,0,4.051,9,mww,596.4,-19.7819,-178.244,Fiji region,,Fiji
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,31/8/2016 3:11,4,3,green,1,713,us,0,0.803,12,mww,476,-3.6849,152.792,"Rabaul, Papua New Guinea",,Papua New Guinea
"M 6.8 - 26 km W of Chauk, Myanmar",6.8,24/8/2016 10:34,6,6,yellow,0,981,us,0,1.802,17,mww,82,20.9228,94.569,"Chauk, Myanmar",Asia,Myanmar
"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,1/6/2016 22:56,4,6,green,0,671,us,0,2.435,16,mww,50,-2.0967,100.665,"Sungai Penuh, Indonesia",,Indonesia
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,18/5/2016 16:46,8,7,green,1,780,us,0,1.192,17,mww,29.95,0.4947,-79.616,"Rosa Zarate, Ecuador",South America,Ecuador
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,18/5/2016 7:57,5,7,green,1,744,us,0,1.352,21,mww,16,0.4261,-79.7899,"Muisne, Ecuador",South America,Ecuador
"M 7.0 - 3 km NW of Norsup, Vanuatu",7,28/4/2016 19:33,7,7,green,1,755,us,0,0.616,14,mww,24,-16.0429,167.379,"Norsup, Vanuatu",,Vanuatu
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,16/4/2016 23:58,9,9,orange,1,1163,us,0,1.44,15,mww,20.59,0.3819,-79.9218,"Muisne, Ecuador",South America,Ecuador
"M 7.0 - 6 km ESE of Kumamoto, Japan",7,15/4/2016 16:25,9,9,red,1,2074,us,0,0.349,32,mww,10,32.7906,130.754,"Kumamoto, Japan",Asia,Japan
"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,13/4/2016 13:55,6,6,yellow,0,903,us,0,3.001,14,mww,136,23.0944,94.8654,"Mawlaik, Myanmar",Asia,Myanmar
"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,10/4/2016 10:28,6,4,green,0,738,us,0,0.789,17,mww,212,36.4725,71.1311,"Ashk?sham, Afghanistan",Asia,Afghanistan
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,7/4/2016 3:32,7,5,green,1,692,us,0,6.787,25,mww,27.59,-13.9805,166.594,"Sola, Vanuatu",,Vanuatu
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,6/4/2016 6:58,7,6,green,1,691,us,0,6.697,19,mww,24,-14.0683,166.624,"Sola, Vanuatu",,Vanuatu
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,3/4/2016 8:23,7,6,green,1,734,us,0,1.166,25,mww,26,-14.3235,166.855,"Port-Olry, Vanuatu",,Vanuatu
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,30/1/2016 3:25,3,7,green,1,799,us,0,0.958,17,mww,177,53.9776,158.546,"Mil’kovo, Russia",Asia,Russia
